Movie Name,Rating,Year,Duration (min),Actors,Genre
The Godfather Part II,9.0,1974.0,202.0,"Al Pacino, Robert De Niro, Marlon Brando","Crime, Drama"
Star Wars: Episode V - The Empire Strikes Back,8.7,1980.0,124.0,"Mark Hamill, Harrison Ford, Carrie Fisher","Action, Adventure"
The Dark Knight Rises,8.4,2012.0,164.0,"Christian Bale, Tom Hardy, Anne Hathaway","Action, Drama"
The Lord of the Rings: The Return of the King,8.9,2003.0,201.0,"Elijah Wood, Ian McKellen, Viggo Mortensen","Adventure, Drama"
Back to the Future,8.5,1985.0,116.0,"Michael J. Fox, Christopher Lloyd, Lea Thompson","Adventure, Comedy"
Gladiator,8.5,2000.0,155.0,"Russell Crowe, Joaquin Phoenix, Connie Nielsen","Action, Drama"
The Matrix Reloaded,7.2,2003.0,138.0,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Action, Sci-Fi"
Avatar,7.8,2009.0,162.0,"Sam Worthington, Zoe Saldana, Sigourney Weaver","Action, Adventure"
The Shawshank Redemption,9.3,1994.0,142.0,"Tim Robbins, Morgan Freeman",Drama
Pulp Fiction,8.9,1994.0,154.0,"John Travolta, Uma Thurman, Samuel L. Jackson","Crime, Drama"
Fight Club,8.8,1999.0,139.0,"Brad Pitt, Edward Norton, Helena Bonham Carter","Drama, Thriller"
Forrest Gump,8.8,1994.0,142.0,"Tom Hanks, Robin Wright","Drama, Romance"
Inception,8.8,2010.0,148.0,"Leonardo DiCaprio, Joseph Gordon-Levitt","Action, Sci-Fi"
The Godfather,9.2,1972.0,175.0,"Marlon Brando, Al Pacino, James Caan","Crime, Drama"
Goodfellas,8.7,1990.0,146.0,"Robert De Niro, Ray Liotta, Joe Pesci","Crime, Drama"
Schindler's List,9.0,1993.0,195.0,"Liam Neeson, Ben Kingsley, Ralph Fiennes","Drama, History"
Interstellar,8.6,2014.0,169.0,"Matthew McConaughey, Anne Hathaway","Adventure, Sci-Fi"
The Lion King,8.5,1994.0,88.0,"Matthew Broderick, James Earl Jones","Animation, Drama"
The Silence of the Lambs,8.6,1991.0,118.0,"Jodie Foster, Anthony Hopkins","Crime, Thriller"
The Green Mile,8.6,1999.0,189.0,"Tom Hanks, Michael Clarke Duncan","Drama, Fantasy"
The Departed,8.5,2006.0,151.0,"Leonardo DiCaprio, Matt Damon, Jack Nicholson","Crime, Drama"
The Prestige,8.5,2006.0,130.0,"Christian Bale, Hugh Jackman, Scarlett Johansson","Drama, Mystery"
Whiplash,8.5,2014.0,107.0,"Miles Teller, J.K. Simmons","Drama, Music"
The Wolf of Wall Street,8.2,2013.0,180.0,"Leonardo DiCaprio, Jonah Hill, Margot Robbie","Biography, Drama"
Parasite,8.6,2019.0,132.0,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong","Comedy, Drama"
12 Angry Men,8.9,1957.0,96.0,"Henry Fonda, Lee J. Cobb, Martin Balsam",Drama
The Shining,8.4,1980.0,146.0,"Jack Nicholson, Shelley Duvall","Horror, Thriller"
Casablanca,8.5,1942.0,102.0,"Humphrey Bogart, Ingrid Bergman, Paul Henreid","Drama, Romance"
City of God,8.6,2002.0,130.0,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen","Crime, Drama"
